CTUID,CTNAME,CMAUID,CMANAME,CMATYPE,CMAPUID,PRUID,PRNAME,82110000,82210000,82220000,82440000,82990000,51410000,54110000,54210000,54310000,54510000,54610000,92240000,92210000,79990000
5350576.33,576.33,535,Toronto,B,35535,35,Ontario,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4620637.02,637.02,462,Montréal,B,24462,24,Quebec / Québec,2,2,0,0,1,2,1,0,0,0,1,0,1,0
5370222.03,222.03,537,Hamilton,B,35537,35,Ontario,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5050007.02,7.02,505,Ottawa - Gatineau (Ontario part / partie de l'Ontario),B,35505,35,Ontario,0,0,0,0,0,0,3,0,0,0,0,0,0,1
5370032,32,537,Hamilton,B,35537,35,Ontario,7,0,0,0,1,0,1,0,0,0,0,0,0,0
5350820.01,820.01,535,Toronto,B,35535,35,Ontario,2,0,0,0,0,0,1,0,0,0,0,0,0,0
5370086,86,537,Hamilton,B,35537,35,Ontario,3,2,0,0,3,0,1,0,0,0,0,1,1,3
4620462.01,462.01,462,Montréal,B,24462,24,Quebec / Québec,4,0,0,0,4,0,1,0,0,0,0,0,0,0
4420011,11,442,Trois-Rivières,B,24442,24,Quebec / Québec,1,0,0,0,0,0,1,0,0,0,0,0,0,1
5050610.02,610.02,505,Ottawa - Gatineau (partie du Québec / Quebec part),B,24505,24,Quebec / Québec,2,0,0,0,0,0,5,0,0,0,0,0,0,2
8250200.02,200.02,825,Calgary,B,48825,48,Alberta,3,0,0,0,0,0,0,0,0,0,0,1,1,0
9330100.01,100.01,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,2,0,0,0,1,0,0,0,0,0,0,0,0,0
4500012,12,450,Granby,K,24450,24,Quebec / Québec,2,0,0,0,1,0,0,0,0,0,0,0,0,1
8250022,22,825,Calgary,B,48825,48,Alberta,21,5,0,0,5,0,3,0,1,0,0,1,1,1
5350500.02,500.02,535,Toronto,B,35535,35,Ontario,3,0,0,0,1,0,2,0,0,1,1,1,0,1
5350412.14,412.14,535,Toronto,B,35535,35,Ontario,0,0,0,0,3,0,0,0,1,0,0,0,0,0
10003.02,3.02,1,St. John's,B,10001,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,2,0,0,0,3,0,2,0,0,0,0,0,0,1
7250104,104,725,Saskatoon,B,47725,47,Saskatchewan,2,0,0,0,0,0,0,0,0,0,0,1,0,1
9330142.02,142.02,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,3,1,0,0,0,0,0,0,0,0,0,0,0,1
6020595.01,595.01,602,Winnipeg,B,46602,46,Manitoba,9,0,0,0,2,0,1,0,0,1,0,1,0,1
3050001,1,305,Moncton,B,13305,13,New Brunswick / Nouveau-Brunswick,5,2,0,0,35,2,18,4,4,4,9,3,3,24
8350163.05,163.05,835,Edmonton,B,48835,48,Alberta,6,2,0,0,0,0,4,0,0,0,0,0,1,3
