CTUID,CTNAME,CMAUID,CMANAME,CMATYPE,CMAPUID,PRUID,PRNAME,41110000,41310000,41510000,41190000,80110000,80210000,80410000,80420000,80490000,83510000,82310000,83310000,83220000,79910000,79970000,84120000,86610000
0010006.00,0006.00,001,St. John's,B,10001,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,2,0,0,18,72,27,7,8,22,9,11,1,30,24,11,13,34
4620515.04,0515.04,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,1
5410013.00,0013.00,541,Kitchener - Cambridge - Waterloo,B,35541,35,Ontario,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,5
5350564.02,0564.02,535,Toronto,B,35535,35,Ontario,0,0,0,1,34,8,0,0,2,0,0,0,0,0,0,0,3
5350003.00,0003.00,535,Toronto,B,35535,35,Ontario,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5390011.00,0011.00,539,St. Catharines - Niagara,B,35539,35,Ontario,0,0,0,1,11,6,2,3,4,1,0,0,5,5,0,0,5
5410123.01,0123.01,541,Kitchener - Cambridge - Waterloo,B,35541,35,Ontario,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1
5350018.00,0018.00,535,Toronto,B,35535,35,Ontario,0,0,0,2,3,0,0,0,2,0,0,0,1,1,0,0,1
9330502.07,0502.07,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,0,0,0,0,22,4,2,0,5,3,1,0,0,0,1,0,8
5950023.01,0023.01,595,Thunder Bay,B,35595,35,Ontario,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0
5050810.01,0810.01,505,Ottawa - Gatineau (partie du Québec / Quebec part),B,24505,24,Quebec / Québec,0,0,0,0,3,3,4,1,3,0,0,0,2,0,0,2,3
5370026.03,0026.03,537,Hamilton,B,35537,35,Ontario,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
5370003.01,0003.01,537,Hamilton,B,35537,35,Ontario,0,0,0,0,2,0,1,0,1,3,0,0,0,0,0,0,0
5350442.04,0442.04,535,Toronto,B,35535,35,Ontario,0,0,0,0,3,3,1,0,2,1,0,0,1,0,0,0,2
5350576.09,0576.09,535,Toronto,B,35535,35,Ontario,0,0,0,0,7,8,1,1,3,1,0,0,2,3,0,0,1
7050005.00,0005.00,705,Regina,B,47705,47,Saskatchewan,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,2,8
5350613.04,0613.04,535,Toronto,B,35535,35,Ontario,1,0,0,8,26,16,3,4,17,5,0,0,19,4,1,0,7
4330009.02,0009.02,433,Sherbrooke,B,24433,24,Quebec / Québec,0,0,0,0,7,13,8,4,13,1,0,1,3,3,0,0,3
6020045.00,0045.00,602,Winnipeg,B,46602,46,Manitoba,0,0,0,0,0,3,0,0,0,3,0,0,1,1,0,0,13
9350130.01,0130.01,935,Victoria,B,59935,59,British Columbia / Colombie-Britannique,0,0,0,0,4,10,10,4,3,0,0,0,1,2,0,1,4
4620283.01,0283.01,462,Montréal,B,24462,24,Quebec / Québec,0,0,0,0,0,2,0,1,0,1,0,0,1,1,1,0,6
8350105.03,0105.03,835,Edmonton,B,48835,48,Alberta,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5900005.00,0005.00,590,Sault Ste. Marie,K,35590,35,Ontario,0,0,0,0,44,2,1,1,4,0,0,0,4,2,2,2,4
5350411.24,0411.24,535,Toronto,B,35535,35,Ontario,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
5350527.06,0527.06,535,Toronto,B,35535,35,Ontario,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,2
9330028.00,0028.00,933,Vancouver,B,59933,59,British Columbia / Colombie-Britannique,0,0,0,0,2,2,0,2,4,1,0,0,0,0,0,1,7
5370055.00,0055.00,537,Hamilton,B,35537,35,Ontario,1,0,0,0,1,3,0,2,0,0,0,0,1,0,0,0,4
5350030.00,0030.00,535,Toronto,B,35535,35,Ontario,0,0,0,0,1,0,0,1,1,3,0,1,2,0,1,1,5
